loss;bleu_score;sentiment_acc;sentiment_score
1.548695517666638;0.4943457397639189;0.1694915254237288;0.17851940283959514
0.6751175677627325;0.5141128309462464;0.2923387096774194;0.29604767056970294
0.5897721040099859;0.5544148523225494;0.326;0.3312616143610212
0.5416878903331235;0.5816151543616845;0.36;0.3636998088080727
0.5011471428088844;0.602419841396287;0.406;0.4048643217599601
0.4635580673906952;0.616058833022285;0.446;0.4464052950996265
0.4274961019158363;0.6411997277366349;0.466;0.46818853488191964
0.3930668140677735;0.6688233143336442;0.492;0.49425153811927885
0.36034271257556977;0.6907860598821511;0.542;0.5392178417638642
0.3294438314801082;0.7171812206436954;0.57;0.5711215772888972
0.3006547735184431;0.7342498059826947;0.594;0.5948403786854178
0.2746985415061936;0.7633480869615613;0.62;0.6173961492124072
0.2506863711825572;0.7982211256908422;0.638;0.6346459784519102
0.22902359421132132;0.8371301482624545;0.68;0.6736682278523222
0.20910591291822492;0.8551840704998172;0.718;0.7100977438258705
